plot_id	title	conclusion	source_files	source_data	svg	pdf	png_600dpi	n_axes	assembled_multipanel	svg_sha256	pdf_sha256	png_sha256
regulatory_candidates_granulosa	Granulosa regulatory candidates	Candidate activity patterns move toward young levels after treatment; these are regulatory hypotheses.	results/stage7_regulatory_activity/candidate_regulators.tsv	results/publication_stage13/source_data/regulatory_candidates_granulosa.tsv	figures/publication/regulatory_candidates_granulosa.svg	figures/publication/regulatory_candidates_granulosa.pdf	figures/publication/regulatory_candidates_granulosa.png	1	False	1a52a97d815a3a6a0a958accc7daaa3827f7ba1b27068b47069f6cb711c86614	91829a31d7f6513d714b4f7598b402617f11dd27c2959886a3cc29e6a9ec38e9	c832eeb7b0f9412613873747a1038baacde6839025d85db5ba9150017c2de65d
nmf_programs_granulosa	Granulosa NMF programs	Most lineage-specific co-expression programs move in the opposite aging direction after treatment.	results/stage8_gene_programs/program_reversal.tsv	results/publication_stage13/source_data/nmf_programs_granulosa.tsv	figures/publication/nmf_programs_granulosa.svg	figures/publication/nmf_programs_granulosa.pdf	figures/publication/nmf_programs_granulosa.png	1	False	2fc0051c702ff4a585dfd27b0aae4341b5d0725a1e1c1d57a89d225e3035cc5d	d32f97e87212defeb18b6cf50f10f33213346d4296473c7adce4572779d72af6	a5e3b3a68ff29413be4b17ef63f25c05a2a539c24d14f45fe22d9d74f5215fea
aging_axis_stromal_fibroblast	Young-directed projection in Stromal_fibroblast	OT libraries project toward the young reference relative to OC in this population.	results/stage5_rejuvenation_geometry/aging_axis_projection.tsv	results/publication_stage13/source_data/aging_axis_stromal_fibroblast.tsv	figures/publication/aging_axis_stromal_fibroblast.svg	figures/publication/aging_axis_stromal_fibroblast.pdf	figures/publication/aging_axis_stromal_fibroblast.png	1	False	7d512873431eedd0a09afe070760b2265ef726fe4e88f6b14788f8fbdda0705c	8b14b2e929cb4336fc2b3ac8b331a276e07bfbb69570c914ad83ad15ecaa0828	a51e873b9aa0540b85f91ebc16321939c030c0f8fa05da2f0acf498f9a7b2a2f
pathway_reversal_stromal_fibroblast	Stromal_fibroblast pathway reversal	Selected aging-associated pathways shift in the opposite direction after treatment.	results/pathway_stage2/primary_pathway_reversal_summary.tsv	results/publication_stage13/source_data/pathway_reversal_stromal_fibroblast.tsv	figures/publication/pathway_reversal_stromal_fibroblast.svg	figures/publication/pathway_reversal_stromal_fibroblast.pdf	figures/publication/pathway_reversal_stromal_fibroblast.png	1	False	2055c86d73fa3019213108ab3ccf91ae41ea962a20925fde43684d9cb68d8c31	222e5037a2529c1d263b4dd577699c7b04f0be7a1c9a2e93309c81f3f675a81e	20bebf9772f9a2a2325b4a02a1ce356f862406b1a21fad3ff26a0663fc7b288d
subtype_localization_stromal_fibroblast	Stromal_fibroblast subtype localization	Broad pathway reversal localizes to defined, adequately represented subtypes.	results/stage3_subtype_localization/broad_to_subtype_localization.tsv	results/publication_stage13/source_data/subtype_localization_stromal_fibroblast.tsv	figures/publication/subtype_localization_stromal_fibroblast.svg	figures/publication/subtype_localization_stromal_fibroblast.pdf	figures/publication/subtype_localization_stromal_fibroblast.png	1	False	09eda2b5507071f3b8c8f99761fa34f0b082dba3eb341e95885015a528e71c77	e4172efb32f8237dfef170355062b3647c7eacb4a326459fdee512897629ac7b	e65b5bce0a9639f73b6caa4b9b86d6e42fead8c457fa5b987a145b5103fd1623
regulatory_candidates_stromal_fibroblast	Stromal_fibroblast regulatory candidates	Candidate activity patterns move toward young levels after treatment; these are regulatory hypotheses.	results/stage7_regulatory_activity/candidate_regulators.tsv	results/publication_stage13/source_data/regulatory_candidates_stromal_fibroblast.tsv	figures/publication/regulatory_candidates_stromal_fibroblast.svg	figures/publication/regulatory_candidates_stromal_fibroblast.pdf	figures/publication/regulatory_candidates_stromal_fibroblast.png	1	False	7289f540371a72d24e5f768dbbb55c4845dda377456c2f6d23271a896a054b49	6f640feab857ae9c60fc8a87b31e09a8e82d063d7c3f854a2425b73746bb1293	f08839daa9ec04d31e7865f609e6a43fc8117e3141fda3684b61a3ce265b320e
nmf_programs_stromal_fibroblast	Stromal_fibroblast NMF programs	Most lineage-specific co-expression programs move in the opposite aging direction after treatment.	results/stage8_gene_programs/program_reversal.tsv	results/publication_stage13/source_data/nmf_programs_stromal_fibroblast.tsv	figures/publication/nmf_programs_stromal_fibroblast.svg	figures/publication/nmf_programs_stromal_fibroblast.pdf	figures/publication/nmf_programs_stromal_fibroblast.png	1	False	20d1cc8275a3d552e45a43e89330311a7196560f4295d33576af219b8c1771e5	c7f8f168b4da652b8594037cade8b8d3628a693e7aac4d919be4ba23e84294ba	0c516b68f29a613837c912a6389cca2b902cda986b2ae87fb08535db90f2f922
external_pathway_validation	External validation of strong pathways	External pathway support is substantially stronger for Stromal than for the single Granulosa strong pathway.	results/stage6_external_validation/external_strong_pathway_validation.tsv	results/publication_stage13/source_data/external_pathway_validation.tsv	figures/publication/external_pathway_validation.svg	figures/publication/external_pathway_validation.pdf	figures/publication/external_pathway_validation.png	1	False	10e0c4b5ad1ef4e8a486a63302f8422c6faa0cb83c36698a45431b855e89ebde	b4f6864e1f1b6ea7f86d8a5941cd063c5a84fbc734dfbc54f39af398a4ce0829	35ebfd2709f7efd5c707bd574f4858bdd58041f5bbf857f1cfabdf5595e27200
composition_intrinsic_decomposition	Composition versus within-subtype expression	Aggregate changes are dominated by within-subtype expression rather than subtype composition.	results/stage4_composition_decomposition/decomposition_summary.tsv	results/publication_stage13/source_data/composition_intrinsic_decomposition.tsv	figures/publication/composition_intrinsic_decomposition.svg	figures/publication/composition_intrinsic_decomposition.pdf	figures/publication/composition_intrinsic_decomposition.png	1	False	38557f0448e42fd1a53cfca6fba69bb601e72222b736ae549a34b309867c9778	17011e9678347bbf18daca1b2d8136eeb2b9ab459cd1565bda9b5cfd46928ce4	3e2b2d21eec981ad01290870bc93cd72692f06c4b74c5bc739760747c7f498ad
communication_ligand_hypotheses	Stromal-to-Granulosa ligand hypotheses	Four targeted ligands show sender-side expression reversal and receiver-side database support; they remain hypotheses.	results/stage9_communication/candidate_ligands.tsv	results/publication_stage13/source_data/communication_ligand_hypotheses.tsv	figures/publication/communication_ligand_hypotheses.svg	figures/publication/communication_ligand_hypotheses.pdf	figures/publication/communication_ligand_hypotheses.png	1	False	1333756e1fc0f0799e471d3d3034415f6b61c6fa6b416cfccf3f1b6ef8d5631e	d9923d94bab87f1a785cc84269be00d8a08b8a0b70619c3dcc71a669d6d065f4	75c6a4ec2df211abeedff56b8b872f38a867e56af1fd12e7e46f40ed7377b9ae
candidate_tier_summary	Transparent candidate triage	The 60-candidate shortlist is reduced to explicit immediate, second-priority, and exploratory tiers.	results/publication_stage13/CANDIDATE_EVIDENCE_CARDS.tsv	results/publication_stage13/source_data/candidate_tier_summary.tsv	figures/publication/candidate_tier_summary.svg	figures/publication/candidate_tier_summary.pdf	figures/publication/candidate_tier_summary.png	1	False	d43fc874c32f1435cbc1851b79e1b9b044a8cbefd285bcc4838d8ccad01a5821	54054172a688f1e2d1d5b8b78a5b22da9e42c0ac9e6d1bd6a48f443cc5367828	be506d1cd670e1bb00651d4fac344de79c58ef8683d37208f91d82718cc5fc5a
